,Ticker,Name,Last Sale,Net Change,Percent Change,Market Cap
157,CDNS,"Cadence Design Systems, Inc. Common Stock",$299.73,1.99,0.668%,"82,158,390,840"
158,SE,"Sea Limited American Depositary Shares, each representing one Class A Ordinary Share",$137.31,3.26,2.432%,"81,290,257,138"
159,MCO,Moody's Corporation Common Stock,$451.86,-1.26,-0.278%,"81,289,614,000"
160,BN,Brookfield Corporation Class A Limited Voting Shares,$54.08,0.41,0.764%,"81,045,157,877"
161,AJG,Arthur J. Gallagher & Co. Common Stock,$317.64,-3.05,-0.951%,"80,902,908,000"
162,UPS,"United Parcel Service, Inc. Common Stock",$94.60,-0.70,-0.735%,"80,804,666,470"
163,ORLY,"O'Reilly Automotive, Inc. Common Stock","$1,407.68",-7.52,-0.531%,"80,621,271,155"
164,TDG,Transdigm Group Incorporated Common Stock,"$1,434.19",21.12,1.495%,"80,435,953,830"
165,FTNT,"Fortinet, Inc. Common Stock",$104.21,0.45,0.434%,"80,134,787,001"
166,GSK,GSK plc American Depositary Shares (Each representing two Ordinary Shares),$38.75,-1.10,-2.76%,"79,978,344,251"
167,BBVA,Banco Bilbao Vizcaya Argentaria S.A. Common Stock,$13.77,0.07,0.511%,"79,360,440,826"
168,PH,Parker-Hannifin Corporation Common Stock,$610.12,5.06,0.836%,"78,562,006,011"
169,ABNB,"Airbnb, Inc. Class A Common Stock",$124.01,2.09,1.714%,"78,193,215,672"
170,RSG,"Republic Services, Inc. Common Stock",$249.41,-1.34,-0.534%,"77,939,880,012"
171,AON,Aon plc Class A Ordinary Shares (Ireland),$351.54,-3.25,-0.916%,"75,911,518,071"
172,CEG,Constellation Energy Corporation Common Stock,$240.615,17.175,7.687%,"75,275,742,743"
173,BP,BP p.l.c. Common Stock,$27.88,0.42,1.529%,"74,889,629,369"
174,MMM,3M Company Common Stock,$137.90,-1.01,-0.727%,"74,215,209,820"
175,CL,Colgate-Palmolive Company Common Stock,$90.69,-1.50,-1.627%,"73,497,000,501"
176,RIO,Rio Tinto Plc Common Stock,$58.55,-0.85,-1.431%,"73,420,083,259"
177,MSI,"Motorola Solutions, Inc. Common Stock",$439.16,-1.23,-0.279%,"73,312,031,840"
178,PBR,Petroleo Brasileiro S.A.- Petrobras Common Stock,$11.35,0.06,0.531%,"73,143,558,424"
179,INFY,Infosys Limited American Depositary Shares,$17.60,UNCH,--,"73,073,357,192"
180,GD,General Dynamics Corporation Common Stock,$271.51,-0.61,-0.224%,"72,872,242,216"
181,WMB,"Williams Companies, Inc. (The) Common Stock",$58.80,0.23,0.393%,"71,698,914,546"
182,SCCO,Southern Copper Corporation Common Stock,$89.84,0.32,0.357%,"71,529,072,185"
183,ECL,Ecolab Inc. Common Stock,$252.62,1.19,0.473%,"71,490,716,792"
184,SNPS,"Synopsys, Inc. Common Stock",$459.36,0.35,0.076%,"71,026,278,111"
185,BMO,Bank Of Montreal Common Stock,$96.32,0.84,0.88%,"70,265,440,000"
