,Ticker,Share Issued,Total Assets,Net PPE,Accounts Receivable,Cash And Cash Equivalents,Total Debt,Accounts Payable,Stockholders Equity,Retained Earnings,Working Capital,Total Revenue,Operating Income,EBITDA,Net Income,Capital Expenditure,Free Cash Flow
143,STI,131697982.0,7955811.0,2094536.0,999.0,3353732.0,2445462.0,2135586.0,-22902000.0,-115880509.0,-26969366.0,0.0,-2413886.0,-11171643.0,-11544477.0,-55143.0,-1755758.0
144,TGS,794495283.0,3394598260000.0,2384877108000.0,156016473000.0,59973684000.0,580109631000.0,76722524000.0,2233510395000.0,370163706000.0,639097765000.0,411535728000.0,185899599000.0,290220139000.0,147643810000.0,-100570979000.0,88765240000.0
145,CCRD,9026940.0,62338000.0,12282000.0,10235000.0,19481000.0,1816000.0,823000.0,51697000.0,61768000.0,31722000.0,14823000.0,2077000.0,2867000.0,1926000.0,-1175000.0,-413000.0
146,FBIO,27584600.0,144223000.0,17121000.0,10231000.0,57263000.0,75960000.0,31636000.0,22737000.0,-740867000.0,18972000.0,15120000.0,-27345000.0,-20111000.0,-6765000.0,,-27907000.0
147,GB,210317792.0,1160144000.0,39364000.0,257986000.0,121776000.0,531914000.0,319274000.0,127614000.0,-797263000.0,15623000.0,131387000.0,32046000.0,76361000.0,31764000.0,-11004000.0,58856000.0
148,ANGO,41584678.0,285415000.0,32530000.0,43468000.0,44760000.0,5000000.0,30265000.0,185870000.0,-423147000.0,94302000.0,72004000.0,-6648000.0,-329000.0,-4407000.0,-1798000.0,-14957000.0
149,OKUR,13347117.0,114907000.0,1795000.0,,110761000.0,1085000.0,2968000.0,103828000.0,-154724000.0,102473000.0,0.0,-33795000.0,-31160000.0,-35194000.0,-50000.0,-21065000.0
150,DTE,207515682.0,49555000000.0,31317000000.0,1888000000.0,33000000.0,23437000000.0,1300000000.0,11921000000.0,5163000000.0,-535000000.0,4440000000.0,623000000.0,1129000000.0,445000000.0,-873000000.0,147000000.0
151,ORMP,40312069.0,155278000.0,1112000.0,,54420000.0,372000.0,789000.0,146265000.0,-176616000.0,137536000.0,0.0,-3595000.0,-9752000.0,-10189000.0,-11000.0,-1922000.0
152,MXC,2046000.0,19535958.0,15578932.0,1086513.0,910005.0,138577.0,220550.0,18026759.0,9990851.0,1469195.0,1891265.0,446381.0,1090120.0,469133.0,-1405562.0,-470852.0
153,ORGNW,145886615.0,378027000.0,207654000.0,19179000.0,56307000.0,9683000.0,2921000.0,338365000.0,-38127000.0,126625000.0,9222000.0,-16128000.0,-10429000.0,-13522000.0,-3836000.0,-9543000.0
154,OCSL,82245319.0,3079167000.0,,,97838000.0,1448486000.0,14087000.0,1475113000.0,-893105000.0,,-40189000.0,,,-36249000.0,,62003000.0
155,MAT,441369000.0,6544084000.0,842443000.0,1003178000.0,1387908000.0,2687280000.0,398983000.0,2264125000.0,3603878000.0,1811194000.0,1646405000.0,158252000.0,233010000.0,140862000.0,-45685000.0,816464000.0
156,CVM,73994219.0,25698787.0,15935101.0,,4614115.0,11086237.0,1999214.0,11308632.0,-521084923.0,378225.0,0.0,-6893418.0,-5907767.0,-7073062.0,-32954.0,-4172927.0
157,PINE,14418673.0,647397000.0,3155000.0,1260000.0,6138000.0,364036000.0,69000.0,240949000.0,,122858000.0,14206000.0,3149000.0,9431000.0,-1179000.0,,7901000.0
158,NUWE,1866890.0,9864000.0,988000.0,1727000.0,5095000.0,545000.0,1640000.0,6530000.0,-298791000.0,6296000.0,2322000.0,-2387000.0,-1384000.0,-1468000.0,-23000.0,-1527000.0
159,FLDDW,46138876.0,52216095.0,,,906043.0,5741767.0,533197.0,42923430.0,-14332652.0,-8366213.0,-15311724.0,3292444.0,5407539.0,63706639.0,,469778.0
160,TCBI,51707542.0,31375749000.0,84575000.0,,3802473000.0,1410521000.0,25270000.0,3429774000.0,2538385000.0,,280478000.0,,,47047000.0,-2416000.0,-2048000.0
161,FTAIM,102550975.0,4037952000.0,2507088000.0,150823000.0,115116000.0,3440478000.0,69119000.0,81368000.0,-73103000.0,878772000.0,498819000.0,148261000.0,236593000.0,102448000.0,-531227000.0,-573030000.0
162,WNC,78135797.0,1411529000.0,339247000.0,143946000.0,115484000.0,408924000.0,146738000.0,188830000.0,105633000.0,286079000.0,416814000.0,3124000.0,19535000.0,-1030000.0,-21345000.0,59539000.0
163,IP,448916000.0,22800000000.0,10091000000.0,2703000000.0,1170000000.0,5853000000.0,2316000000.0,8173000000.0,9393000000.0,2166000000.0,4580000000.0,-72000000.0,383000000.0,-147000000.0,-260000000.0,137000000.0
164,MNSBP,7603765.0,2228098000.0,13287000.0,,47553000.0,73039000.0,,207991000.0,91150000.0,,16847000.0,,,-16167000.0,-695000.0,4758000.0
165,SLSR,163234932.0,57196000.0,24045000.0,38000.0,31738000.0,49639000.0,,-17201000.0,-282583000.0,19525000.0,0.0,-23304000.0,-23943000.0,-25868000.0,-1333000.0,-20841000.0
166,MSIF,40240411.0,1224671000.0,,,28375000.0,565141000.0,21396000.0,624903000.0,-64717000.0,,16574000.0,,,20464000.0,,-14693000.0
167,PPBT,339094551.0,37038000.0,288000.0,,7401000.0,183000.0,1455000.0,32860000.0,-144693000.0,4921000.0,0.0,-1016000.0,-886000.0,-410000.0,,-2014000.0
168,GGG,167218000.0,3008314000.0,787753000.0,372730000.0,536138000.0,50324000.0,77761000.0,2477720000.0,1367455000.0,989356000.0,528284000.0,144013000.0,176895000.0,124101000.0,-10597000.0,114819000.0
169,KELYA,38509832.0,2632300000.0,72800000.0,1255500000.0,39000000.0,302600000.0,613800000.0,1234600000.0,1230200000.0,539000000.0,1191100000.0,24100000.0,-37300000.0,-31800000.0,-2000000.0,13000000.0
170,TDY,47424847.0,15048500000.0,815300000.0,935500000.0,461500000.0,2964800000.0,489900000.0,9925200000.0,6455300000.0,1617300000.0,1449900000.0,259300000.0,340000000.0,188600000.0,-18000000.0,224600000.0
171,NSIT,31912000.0,7922573000.0,215151000.0,4608997000.0,321850000.0,1221906000.0,3518856000.0,1590944000.0,1516072000.0,1004336000.0,2103556000.0,67304000.0,60413000.0,7514000.0,-7130000.0,70920000.0
172,GAN,45570192.0,77146000.0,3417000.0,7043000.0,38742000.0,50315000.0,5615000.0,-11141000.0,-317264000.0,21661000.0,31689000.0,-2658000.0,-1725000.0,-4151000.0,-881000.0,4794000.0
173,LOVE,14786934.0,532250000.0,235740000.0,16781000.0,83734000.0,183023000.0,51814000.0,216355000.0,25845000.0,91487000.0,241490000.0,47598000.0,51384000.0,35307000.0,-5439000.0,38584000.0
